Bin,Start,End,Range,Value,Percentage,"Accumulated Value","Accumulated Percentage"
0,0,0.01337,"[0, 0.01337)",1003,0.99801,1003,0.99801
1,0.01337,0.0267401,"[0.01337, 0.0267401)",0,0,1003,0.99801
2,0.0267401,0.0401101,"[0.0267401, 0.0401101)",0,0,1003,0.99801
3,0.0401101,0.0534802,"[0.0401101, 0.0534802)",0,0,1003,0.99801
4,0.0534802,0.0668502,"[0.0534802, 0.0668502)",0,0,1003,0.99801
5,0.0668502,0.0802203,"[0.0668502, 0.0802203)",0,0,1003,0.99801
6,0.0802203,0.0935903,"[0.0802203, 0.0935903)",0,0,1003,0.99801
7,0.0935903,0.10696,"[0.0935903, 0.10696)",0,0,1003,0.99801
8,0.10696,0.12033,"[0.10696, 0.12033)",0,0,1003,0.99801
9,0.12033,0.1337,"[0.12033, 0.1337)",0,0,1003,0.99801
10,0.1337,0.147071,"[0.1337, 0.147071)",0,0,1003,0.99801
11,0.147071,0.160441,"[0.147071, 0.160441)",0,0,1003,0.99801
12,0.160441,0.173811,"[0.160441, 0.173811)",0,0,1003,0.99801
13,0.173811,0.187181,"[0.173811, 0.187181)",0,0,1003,0.99801
14,0.187181,0.200551,"[0.187181, 0.200551)",0,0,1003,0.99801
15,0.200551,0.213921,"[0.200551, 0.213921)",1,0.000995025,1004,0.999005
16,0.213921,0.227291,"[0.213921, 0.227291)",0,0,1004,0.999005
17,0.227291,0.240661,"[0.227291, 0.240661)",0,0,1004,0.999005
18,0.240661,0.254031,"[0.240661, 0.254031)",0,0,1004,0.999005
19,0.254031,0.267401,"[0.254031, 0.267401)",0,0,1004,0.999005
20,0.267401,0.280771,"[0.267401, 0.280771)",0,0,1004,0.999005
21,0.280771,0.294141,"[0.280771, 0.294141)",0,0,1004,0.999005
22,0.294141,0.307511,"[0.294141, 0.307511)",0,0,1004,0.999005
23,0.307511,0.320881,"[0.307511, 0.320881)",0,0,1004,0.999005
24,0.320881,0.334251,"[0.320881, 0.334251)",1,0.000995025,1005,1
