,norank,superkingdom,kingdom,phylum,subphylum,class,order,family,genus,species,subtree,subtree_rank
KC153059,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Pterioida_44598,Pinnidae_44599,Atrina_49197,Atrina pectinata_49198,,phylum
GQ527172,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Mytilida_6546,Mytilidae_6547,Mytilus_6548,Mytilus californianus_6549,,phylum
KC848654,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Solenaia_165459,Solenaia carinata_1903492,,phylum
MH198158,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Buccinidae_37796,Buccinulum_128468,Buccinulum fuscozonatum_2175165,,phylum
KY679831,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Architaenioglossa_75116,Viviparidae_54976,Cipangopaludina_57623,Cipangopaludina chinensis_527796,,phylum
MW550289,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Muricidae_39476,Tenguella_2358223,Tenguella musiva_2358224,,phylum
MT372822,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Geoemydidae_328320,Sacalia_74933,Sacalia bealei_204942,,subphylum
KT381195,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Lepidodesma_165453,Lepidodesma languilati_1798241,,phylum
MW478842,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Cephalopoda_6605,Sepiida_551287,Sepiolidae_34531,Sepietta_34534,Sepietta oweniana_70319,,phylum
MN998653,Ovalentaria incertae sedis_1489909,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Pomacentridae_30863,Acanthochromis_80965,Acanthochromis polyacanthus_80966,,class
