,norank,superkingdom,kingdom,phylum,subphylum,class,order,family,genus,species
MZ156051,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Cymathaere_169789,Cymathaere triplicata_309354
MK045263,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Ectocarpales_2877,Ectocarpaceae_2878,Ectocarpus_2879,Ectocarpus siliculosus_2880
MW485977,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum polycystum_127578
KR350664,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Saccharina_309357,Saccharina sculpera_416830
AB854048,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,,Tsukubamonadida_2711297,Tsukubamonadidae_1084709,Tsukubamonas_1084708,Tsukubamonas globosa_875863
MW682830,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum muticum_74468
AF287134,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Chrysophyceae_2825,Chromulinales_96792,Chromulinaceae_98651,Ochromonas_2985,Ochromonas danica_2986
MZ488951,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Alariaceae_2887,Alaria_2888,Alaria crispa_441892
AF007261,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,,Jakobida_556282,Histionidae_556285,Reclinomonas_48482,Reclinomonas americana_48483
KC568459,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Eustigmatophyceae_5747,Eustigmatales_425074,Monodopsidaceae_425072,Nannochloropsis_5748,Nannochloropsis limnetica_120807
KM244739,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Ectocarpales_2877,Scytosiphonaceae_2891,Colpomenia_27964,Colpomenia peregrina_27965
MZ488962,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Alariaceae_2887,Alaria_2888,Alaria marginata_98221
MH411105,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Macrocystis_35121,Macrocystis integrifolia_169774
KJ410687,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Eustigmatophyceae_5747,Eustigmatales_425074,Monodopsidaceae_425072,Nannochloropsis_5748,Nannochloropsis oceanica_145522
MZ156066,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Alariaceae_2887,Lessoniopsis_169787,Lessoniopsis littoralis_169788
KM198930,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Glaucocystophyceae_38254,,Cyanophoraceae_33678,Cyanophora_2761,Cyanophora paradoxa_2762
MZ156067,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Agaraceae_2012474,Thalassiophyllum_112505,Thalassiophyllum clathrus_112506
MG774890,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum horneri_74089
KJ995702,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Ectocarpales_2877,Scytosiphonaceae_2891,Scytosiphon_27966,Scytosiphon lomentaria_27967
LC650202,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Actinophryidae_238765,,,Actinophrys_238770,Actinophrys sol_238771
MN395660,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Alariaceae_2887,Alaria_2888,Alaria marginata_98221
MZ156046,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Hedophyllum_169779,Hedophyllum nigripes_2724434
AP011498,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Saccharina_309357,Saccharina angustata_88154
MW682825,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum ilicifolium_246892
MZ488968,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Alariaceae_2887,Alaria_2888,Alaria esculenta_2889
KC353359,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,,Jakobida_556282,,Seculamonas_221723,Seculamonas ecuadoriensis_221724
AP011499,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Saccharina_309357,Saccharina coriacea_416835
KC353352,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,,Jakobida_556282,Andaluciidae_2683624,Andalucia_444704,Andalucia godoyi_505711
MH259702,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Bigyra_2683628,Thraustochytrida_2699528,Thraustochytriaceae_33674,Aurantiochytrium_420535,Aurantiochytrium acetophilum_2172886
AP014626,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Bolidophyceae_91989,Parmales_722750,Triparmaceae_722751,Triparma_722752,Triparma laevis_1534972
KJ410686,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Eustigmatophyceae_5747,Eustigmatales_425074,Monodopsidaceae_425072,Nannochloropsis_5748,Nannochloropsis gaditana_72520
KR132242,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum vachellianum_1155129
MZ488963,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Alariaceae_2887,Alaria_2888,Alaria marginata_98221
MF374731,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Ectocarpales_2877,Scytosiphonaceae_2891,Endarachne_698475,Endarachne binghamiae_698476
MW485976,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Fucaceae_3010,Silvetia_93834,Silvetia siliquosa_93837
